codigo;       DESCRIPCION ;            MARCA ;   CONTENIDO ;    UNIDADES POR CAJA ;  PRECIO POR CAJA;STOCK CAJA ;             AROMAS
1097;TRAPERO HUMEDO PISO FLOTANTE DESINFECTANTE EXCELL;EXCELL;10 UNIDADES;10;$14.300;77;
1098;TRAPERO HUMEDO CLASICO;EXCELL;10 UNIDADES;10;$14.300;102;
1099;DESODORANTE AMBIENTAL WINNEXS;WINNEX;400 ML;12;$11.640;20;
1100;DESODORANTE AMBEINTAL WINNEXS;WINNEXS;250 ML;12;$17.280;38;
1101;DESODORANTE AMBIENTAL AROM;AROM;225 GRAMOS;12;$14.280;48;
1102;TRAPERO HUMEDO 2 EN 1 [LIMPIADOR +ABRILLANTADOR ];EXCELL;10 UNIDADES;10;$19.500;7;
1103;CLORO GEL EXCELL;EXCELL;900 ML;12;$12.240;148;
1104;QUITAMANCHAS GATILLO;EXCELL;500 ML;12;$18.960;12;
1105;LIMPIADOR DE BAÑO ULTRA PAWER PRFESIONAL GATILLO;EXCELL;500 ML;12;$19.680;20;
1106;LAVALOZA RINSO;RINSO;750 ML;12;$14.840;27;
1107;LIMPIADOR CREMA EXCELL ;EXCELL;500 ML;12;$15.360;8;
1108;SUAVIZANTE PARA DILUIR EXCELL BOLSA;EXCELL;500 ML;12;$21.960;6;
1109;VANISH POLVO ;VANISH;30 GRAMOS;12;$8.400;72;
1110;LAVALOZA QUIX;QUIX;1.500 ML;8;$21.520;2;
1111;TOALLAS HUMEDAS BABYSEC;BABYSEC;40 UNIDADES;24;$30.960;3;
