codigo,descripcion,marca,contenido,unidades_por_caja,precio_caja,stock,aromas
1187,paño esponja premiun teddy,teddy,3 unidades,3,780,20.0,
1188,nova ultra gigante 70,nova,70 metros,8,16500,8.0,
1189,confort noble de 23 metros,noble,packs x3,8,8890,434.0,
1190,confort elite 50 metros,elite,packs x2,8,17490,18.0,
1191,confort confort x50 metros,confort,packs x2,8,16250,16.0,
1192,confort suan 20 metros,suan,packs x6,8,8490,34.0,
1193,conforte ovella 22 metros,ovella,packs x6,8,8490,2.0,
1194,confort noble 22 metros,noble,packs x6,8,9890,30.0,
1195,conforte ovella de 50 metros,ovella,packs x4,8,13490,5.0,
1196,nova suan ultra x70,suan,70 metros,8,13690,13.0,
1197,nova ovella roja xl,ovella,100 metros,6,7500,7.0,
1198,servilleta nova pack familiar,nova ,300 unidaes,20,21000,5.0,
1199,nova clasica giganrte x70,nova ,70 metros,8,13690,189.0,
1200,nova clasica x3,nova ,packs x3,8,6490,70.0,
1201,nova ovella gigante de 100 metros,ovella,100 metros,6,13690,22.0,
1202,pañal babysec ,babysec,14 unidades,8,20500,56.0,
1203,pañal para adulto care up x16,care up,16 unidades,16,9500,19.0,
1204,pañal para adulto caree up x 20,care up,20 unidades,20,11990,10.0,
1205,sabanilla care up x8,care up,8 unidades,8,4290,8.0,
1206,aposito multiuso care up,care up,20 unidades,20,2790,10.0,
1207,paños amarillos,,360 unidades,1,64800,11.0,
